"","time","status","condition","subject","velocity","normVelocity"
"87",87,"NS 9","VAN","subject 1",NA,NA
"88",88,"NS 9","VAN","subject 1",NA,NA
"89",89,"NS 9","VAN","subject 1",NA,NA
"90",90,"NS 9","VAN","subject 1",NA,NA
"91",91,"S 10","VAN","subject 1",NA,NA
"92",92,"S 10","VAN","subject 1",NA,NA
"93",93,"S 10","VAN","subject 1",NA,NA
"94",94,"S 10","VAN","subject 1",NA,NA
"95",95,"S 10","VAN","subject 1",NA,NA
"96",96,"NS 10","VAN","subject 1",NA,NA
"97",97,"NS 10","VAN","subject 1",NA,NA
"98",98,"NS 10","VAN","subject 1",NA,NA
"99",99,"NS 10","VAN","subject 1",NA,NA
"100",100,"NS 10","VAN","subject 1",NA,NA
"101",101,"S 11","VAN","subject 1",NA,NA
"102",102,"S 11","VAN","subject 1",NA,NA
"103",103,"S 11","VAN","subject 1",NA,NA
"104",104,"S 11","VAN","subject 1",NA,NA
"105",105,"S 11","VAN","subject 1",NA,NA
"106",106,"NS 11","VAN","subject 1",NA,NA
"107",107,"NS 11","VAN","subject 1",NA,NA
"108",108,"NS 11","VAN","subject 1",NA,NA
"109",109,"NS 11","VAN","subject 1",NA,NA
"110",110,"NS 11","VAN","subject 1",NA,NA
"111",111,"S 12","VAN","subject 1",NA,NA
"112",112,"S 12","VAN","subject 1",NA,NA
"113",113,"S 12","VAN","subject 1",NA,NA
"114",114,"S 12","VAN","subject 1",NA,NA
"115",115,"S 12","VAN","subject 1",NA,NA
"116",116,"NS 12","VAN","subject 1",NA,NA
"117",117,"NS 12","VAN","subject 1",NA,NA
"118",118,"NS 12","VAN","subject 1",NA,NA
"119",119,"NS 12","VAN","subject 1",NA,NA
"120",120,"NS 12","VAN","subject 1",NA,NA
"121",121,"S 13","VAN","subject 1",NA,NA
"122",122,"S 13","VAN","subject 1",NA,NA
"123",123,"S 13","VAN","subject 1",NA,NA
"124",124,"S 13","VAN","subject 1",NA,NA
"125",125,"S 13","VAN","subject 1",NA,NA
"126",126,"NS 13","VAN","subject 1",NA,NA
"127",127,"NS 13","VAN","subject 1",NA,NA
"128",128,"NS 13","VAN","subject 1",NA,NA
"129",129,"NS 13","VAN","subject 1",NA,NA
"130",130,"NS 13","VAN","subject 1",NA,NA
"131",131,"S 14","VAN","subject 1",NA,NA
"132",132,"S 14","VAN","subject 1",NA,NA
"133",133,"S 14","VAN","subject 1",NA,NA
"134",134,"S 14","VAN","subject 1",NA,NA
"135",135,"S 14","VAN","subject 1",NA,NA
"136",136,"NS 14","VAN","subject 1",NA,NA
"137",137,"NS 14","VAN","subject 1",NA,NA
"138",138,"NS 14","VAN","subject 1",NA,NA
"139",139,"NS 14","VAN","subject 1",NA,NA
"140",140,"NS 14","VAN","subject 1",NA,NA
"141",141,"S 15","VAN","subject 1",NA,NA
"142",142,"S 15","VAN","subject 1",NA,NA
"143",143,"S 15","VAN","subject 1",NA,NA
"144",144,"S 15","VAN","subject 1",NA,NA
"145",145,"S 15","VAN","subject 1",NA,NA
"146",146,"NS 15","VAN","subject 1",NA,NA
"147",147,"NS 15","VAN","subject 1",NA,NA
"148",148,"NS 15","VAN","subject 1",NA,NA
"149",149,"NS 15","VAN","subject 1",NA,NA
"150",150,"NS 15","VAN","subject 1",NA,NA
"151",1,"S 1","VAN","subject 2",1.73374,0.55603223180407
"152",2,"S 1","VAN","subject 2",2.97179,1.09252379132755
"153",3,"S 1","VAN","subject 2",3.00727,1.10435244904639
"154",4,"S 1","VAN","subject 2",0.504819,-0.663939896404324
"155",5,"S 1","VAN","subject 2",0.382838,-0.934357965836773
"156",6,"NS 1","VAN","subject 2",0.552886,-0.57467815802415
"157",7,"NS 1","VAN","subject 2",0.809412,-0.199168269114507
"158",8,"NS 1","VAN","subject 2",1.4177,0.356064757813037
"159",9,"NS 1","VAN","subject 2",1.1549,0.152635246423594
"160",10,"NS 1","VAN","subject 2",1.50155,0.413135614412384
"161",11,"S 2","VAN","subject 2",1.43401,0.367423965654412
"162",12,"S 2","VAN","subject 2",4.94284,1.59996114942998
