"","time","status","condition","subject","acceleration"
"126",126,"NS","VAN","subject 1",NA
"127",127,"NS","VAN","subject 1",NA
"128",128,"NS","VAN","subject 1",NA
"129",129,"NS","VAN","subject 1",NA
"130",130,"NS","VAN","subject 1",NA
"131",131,"S","VAN","subject 1",NA
"132",132,"S","VAN","subject 1",NA
"133",133,"S","VAN","subject 1",NA
"134",134,"S","VAN","subject 1",NA
"135",135,"S","VAN","subject 1",NA
"136",136,"NS","VAN","subject 1",NA
"137",137,"NS","VAN","subject 1",NA
"138",138,"NS","VAN","subject 1",NA
"139",139,"NS","VAN","subject 1",NA
"140",140,"NS","VAN","subject 1",NA
"141",141,"S","VAN","subject 1",NA
"142",142,"S","VAN","subject 1",NA
"143",143,"S","VAN","subject 1",NA
"144",144,"S","VAN","subject 1",NA
"145",145,"S","VAN","subject 1",NA
"146",146,"NS","VAN","subject 1",NA
"147",147,"NS","VAN","subject 1",NA
"148",148,"NS","VAN","subject 1",NA
"149",149,"NS","VAN","subject 1",NA
"150",1,"S","VAN","subject 2",1.23805
"151",2,"S","VAN","subject 2",0.0354800000000002
"152",3,"S","VAN","subject 2",-2.502451
"153",4,"S","VAN","subject 2",-0.121981
"154",5,"S","VAN","subject 2",0.170048
"155",6,"NS","VAN","subject 2",0.256526
"156",7,"NS","VAN","subject 2",0.608288
"157",8,"NS","VAN","subject 2",-0.2628
"158",9,"NS","VAN","subject 2",0.34665
"159",10,"NS","VAN","subject 2",-0.0675399999999999
"160",11,"S","VAN","subject 2",3.50883
"161",12,"S","VAN","subject 2",-0.94922
"162",13,"S","VAN","subject 2",-0.84554
"163",14,"S","VAN","subject 2",-1.57446
"164",15,"S","VAN","subject 2",4.16712
"165",16,"NS","VAN","subject 2",-0.88068
"166",17,"NS","VAN","subject 2",-0.88284
"167",18,"NS","VAN","subject 2",-1.41324
"168",19,"NS","VAN","subject 2",0.62549
"169",20,"NS","VAN","subject 2",0.73556
"170",21,"S","VAN","subject 2",1.6491
"171",22,"S","VAN","subject 2",6.81457
"172",23,"S","VAN","subject 2",14.5721
"173",24,"S","VAN","subject 2",-12.2308
"174",25,"S","VAN","subject 2",-8.47003
"175",26,"NS","VAN","subject 2",-4.55764
"176",27,"NS","VAN","subject 2",0.27464
"177",28,"NS","VAN","subject 2",-0.80803
"178",29,"NS","VAN","subject 2",-0.13943
"179",30,"NS","VAN","subject 2",-0.32521
"180",31,"S","VAN","subject 2",0.052627
"181",32,"S","VAN","subject 2",-0.232278
"182",33,"S","VAN","subject 2",-0.190662
"183",34,"S","VAN","subject 2",-0.122737
"184",35,"S","VAN","subject 2",0.624833
"185",36,"NS","VAN","subject 2",0.034245
"186",37,"NS","VAN","subject 2",0.0757680000000001
"187",38,"NS","VAN","subject 2",-0.759024
"188",39,"NS","VAN","subject 2",-0.1043257
"189",40,"NS","VAN","subject 2",0.2581937
"190",41,"S","VAN","subject 2",0.322578
"191",42,"S","VAN","subject 2",2.204752
"192",43,"S","VAN","subject 2",8.30103
"193",44,"S","VAN","subject 2",29.2902
"194",45,"S","VAN","subject 2",22.6553
"195",46,"NS","VAN","subject 2",-12.7548
"196",47,"NS","VAN","subject 2",NA
"197",48,"NS","VAN","subject 2",NA
"198",49,"NS","VAN","subject 2",NA
"199",50,"NS","VAN","subject 2",NA
"200",51,"S","VAN","subject 2",NA
"201",52,"S","VAN","subject 2",NA
"202",53,"S","VAN","subject 2",NA
